unittitle,function
"Juon, Jacques",Personne
Kerguelen,Personne
L'Empereur,Personne
"L'Escolle, Sieur de",Personne
"L'Estang, Sieur de",Personne
L'Estoffé,Personne
"La Haye, Jacob Blanquet de",Personne
"La Motte d'Eyran, Madame de",Personne
"La Rue, Charlotte de",Personne
"Labarre, Antoine Lefebvre de",Personne
"Labarre, de",Personne
"Labat, de",Personne
"Labat, Sieur de",Personne
"Laboissière, Sieur de",Personne
Laborde,Personne
"Laborde, Sieur de",Personne
"Labordemain, de",Personne
"Laboulaye, Sieur de",Personne
"Labourdonnaye, M. de",Personne
"Labouvraye, Sieur de",Personne
"Labrangelie, Le Chevalier de",Personne
"Labrosse, de",Personne
"Labroue, Sieur de",Personne
"Labrousle, Sieur de",Personne
"Labrouste, Sieur de (alias La Broute)",Personne
"Lacaffinière, M. de",Personne
"Lacase, M. de",Personne
"Lachaise, Le Père",Personne
"Lachapelle, de",Personne
Lachasse,Personne
"Lachastaigneraye, M. de",Personne
"Lachenardière, de",Personne
"Lachesnaux, Sieur de",Personne
Lachesnaye,Personne
"Laclide, Demoiselle de",Personne
Laclisse,Personne
"Laclisse, Demoiselle de",Personne
"Laclocheterie, Louis Chadeau de",Personne
"Lacoste, de",Personne
Lacouture,Personne
"Lacroix, de",Personne
"Ladmiral, Demoiselle",Personne
Ladoubé,Personne
"Lafaye, Frères de",Personne
"Laferrière, de",Personne
"Laferté, de",Personne
"Laferté, Marquis de",Personne
Lafillière,Personne
"Laflèche, Sieur de",Personne
"Laflocelière, Sieur de",Personne
"Laforce, Duc de",Personne
"Lagalissonnière, de",Personne
"Lagarde, de",Personne
Lagarrigue,Personne
"Lagastinière, de",Personne
"Lagirardière, Sieur de",Personne
"Lagny, M. de",Personne
"Lagord, Sieur de",Personne
Lagrange,Personne
"Lagrange de Verteuil, Le Sieur de",Personne
Laguinardière,Personne
"Lahéronnière, Sieur de",Personne
"Lahogue, Sieur de",Personne
"Lajoubertière-Pineau, Sieur de",Personne
"Lajus, Le Jeune",Personne
Lalande,Personne
"Lalanne, Sieur de",Personne
"Lalaurentie, Sieur de",Personne
"Lamagdeleine, Sieur de",Personne
"Lamaignère, Jean de",Personne
"Lamainforme, de",Personne
"Lamalmaison, Sieur de",Personne
"Lamarre, Sieur de",Personne
"Lamartinière, M. de",Personne
Lambert,Personne
"Lambert, La Nommée",Personne
"Lamezanchère, Sieur de",Personne
"Lamonstre, Sieur de",Personne
"Lamotte Ango, Sieur de",Personne
"Lamotte Genouillé, Sieur de",Personne
"Lamotte Genouillé, Veuve de",Personne
"Lamotte Gris, Sieur de",Personne
"Lamotte Louvard, Sieur de",Personne
"Lamotte Michel, Demoiselle de",Personne
"Lamotte Michel, Madame de",Personne
"Lamotte Michel, Sieur de",Personne
"Lamotte, Sieur de",Personne
"Lanaverre, Paul de",Personne
Landais,Personne
"Landebarats, Sieur de",Personne
Landouilette,Personne
Landreau,Personne
"Landron, Etienne",Personne
Lange,Personne
"Langeron, Joseph Andrault Marquis de",Personne
Langlade,Personne
Langlier,Personne
Languillet,Personne
"Languillet, Mathieu",Personne
"Lanion, Le chevalier de",Personne
Lanneau,Personne
Lanquetot,Personne
"Lantillac, Sieur de",Personne
"Lapacaudière, Dame de",Personne
"Lapara, Le cadet",Personne
"Lapeaudière, Sieur de",Personne
"Laperière, de",Personne
"Laperrinière, Le chevalier de",Personne
"Lapiquetière, M. de",Personne
"Laplanche, sieur de",Personne
"Laporte, Marquis de",Personne
"Lapoterie, Sieur de",Personne
"Lapoupelière, Sieur de",Personne
"Laprisebaudin, de",Personne
"Laralde, Sieur de",Personne
"Laramigère, Sieur de",Personne
"Laravoye, Sieur de",Personne
Laremberge,Personne
"Lareynie, M. de",Personne
"Larieux, de",Personne
Larigaudière Froger,Personne
"Larigaudière, de",Personne
"Larigodière de La Rochefoucauld, Sieur de",Personne
"Larivière, Sieur de",Personne
"Larochalard, de (alias La Rochallart)",Personne
"Larochalard, de (alias La Rochellart)",Personne
Laroche,Personne
"Laroche Du Vigier, Sieur de",Personne
"Laroche, Elie de",Personne
"Larochecourbon, M. de",Personne
"Larochecourbon, Madame de",Personne
"Larochelongchamp, Madame de",Personne
"Larochevezansay, Sieur de",Personne
"Laronde, de",Personne
"Laronde, Sieur de",Personne
"Laroque, Sieur de",Personne
"Laroquepersin, M. de",Personne
Larouvière,Personne
"Lasalle Cuxac, Sieur de",Personne
"Lasalle, M. de",Personne
"Lasaulaye, de",Personne
"Lasauvagère, de",Personne
"Latouane, Sieur de",Personne
"Latouche, Sieur de",Personne
Latour Dalliez,Personne
"Latraverserie, Sieur de",Personne
"Latreille Follière, de",Personne
"Latreille, Sieur de",Personne
"Laubespin, Le Chevalier de",Personne
"Launay, Sieur de",Personne
Laurier,Personne
Lauthier,Personne
"Lauzon, Le Chevalier de",Personne
"Lavalminière, Sieur de",Personne
"Lavardin, M. de",Personne
"Lavarenne, Marquis de",Personne
Lavau,Personne
"Lavau Saint Etienne, Sieur de",Personne
"Lavauguyon, Comte de",Personne
"Lavergue, Sieur de",Personne
"Laverune, Sieur de",Personne
"Lavieuville, J. François Dubois Halhan de",Personne
Lavigne Buisson,Personne
"Lavigne, Isaac",Personne
Lavocat,Personne
"Lavogadre, M. de",Personne
"Lavrillière, de",Personne
Lebair,Personne
Lebègue,Personne
Leblanc,Personne
Lecamus,Personne
"Leclerq, Jacques",Personne
"Lefel, Charles",Personne
Lefèvre,Personne
Lefèvre de Chassenay,Personne
Legrand,Personne
Legras,Personne
Lelarge,Personne
Lemeyrat de Saint Abre,Personne
Lepeletier de Souzy,Personne
"Lequin, Marie",Personne
Leroux,Personne
Leroy,Personne
Leroy de La Poterie,Personne
"Leroy, Nicolas",Personne
Lervoire,Personne
Lescure,Personne
"Lesdiguières, La Duchesse de",Personne
"Lespine Danican, Sieur de",Personne
"Lestrille, de",Personne
"Lestrille, Sieur de",Personne
"Lestrille, Veuve de",Personne
Levasseur,Personne
Levasseur de Néré,Personne
Levau,Personne
Levayer,Personne
"Levy, Sieur de",Personne
Lezeau,Personne
Lhermite,Personne
"Ligondais, Sieur de",Personne
"Lille, Sieur de",Personne
"Lilleau, Sieur de",Personne
"Lion, Sieur de",Personne
"Livernan, Sieur de",Personne
Livron,Personne
"Logivière, Landouilette de",Personne
"Loire, Demoiselle de",Personne
"Loire, Marquise de",Personne
"Lombard, Joseph",Personne
"Loménie, M. de",Personne
Lorance,Personne
"Lorge, Le Maréchal de",Personne
Lortie des Brions,Personne
Lothon,Personne
Lottin,Personne
Loubon,Personne
Loure,Personne
Lourme,Personne
"Louvigny, Sieur de",Personne
"Louvois, Abbé de",Personne
"Louvois, Le Marquis de",Personne
"Lubert, Sieur de",Personne
"Lucan, Sieur de",Personne
Lully,Personne
Luneau,Personne
"Lusignan, Sieur de (alias Luzignan)",Personne
"Madec, Laurent",Personne
Mademoiselle de Montpensier,Personne
"Magne, Dame de",Personne
"Maigne, Dame de",Personne
Maingault,Personne
"Maintenon, M. de",Personne
"Maintenon, Madame de",Personne
Makarel,Personne
Malet,Personne
Mallet,Personne
Manguy,Personne
Maniban,Personne
Manigault,Personne
Manot,Personne
"Manse, Sieur de",Personne
Manuel,Personne
Marbeuf,Personne
"Marcognet, Sieur de",Personne
Marcolay,Personne
"Mardoit, Le chevalier de",Personne
"Marèges, Sieur de",Personne
Marest,Personne
Maret,Personne
"Mareuil, Sieur de",Personne
Marias,Personne
Marie,Personne
"Marigny, Le capitaine de",Personne
"Marillac, Le chevalier de",Personne
Marin,Personne
Mariol,Personne
Mariollay,Personne
"Marsan, Comte de",Personne
"Marsilly, Vicomte de",Personne
"Martel, Catherine",Personne
"Martel, Dame de",Personne
"Martel, Judith",Personne
"Martel, Sieur de",Personne
Martin,Personne
Masse,Personne
Massé,Personne
Massiot,Personne
Masson,Personne
"Masson, Mathurin",Personne
"Massonne, La nommée",Personne
"Maubec, Amable",Personne
Mauclerc,Personne
Maudet,Personne
"Maupeou, Le Chevalier de",Personne
"Mauprié, Dame de",Personne
Maurice,Personne
"Maurville, Bidé de",Personne
Mayer,Personne
Melon,Personne
Ménardeau,Personne
Méré,Personne
"Merlas, Marguerite (alias Merlat)",Personne
Meslin,Personne
Mesnard,Personne
"Meusnier, Jean",Personne
"Meusnier, Veuve",Personne
"Mezy, de",Personne
Micheau,Personne
Michel,Personne
"Michel, Dame",Personne
"Michel, Veuve",Personne
"Mignard, Edouard",Personne
Millière,Personne
"Miossens, Madame de (alias Miossans)",Personne
"Miramion, Sieur de",Personne
"Miromesnil, Sieur de",Personne
Mithon,Personne
"Mondens, Sieur de",Personne
Monfort,Personne
"Monic, de",Personne
"Monis, de",Personne
Monsheureuil,Personne
"Montaumer, Sieur de",Personne
"Montbault, M. de",Personne
"Montbron, Le Chavalier de",Personne
"Monteil, Sieur de",Personne
"Montgeorge, M. de",Personne
"Montgon, Le chevalier de",Personne
Montigné,Personne
"Montléon, Sieur de",Personne
Montmort,Personne
Montortier,Personne
"Montortier, de",Personne
"Montségur, Sieur de",Personne
"Montyon, Le chevalier de",Personne
