function	ID	cID	geogname
Personne	P6646	C23962	Marennes
Personne	P6646	N15264	
Personne	P6646	C23965	Marennes
Personne	P6881	C25285	
Personne	P6881	C25290	Canada, Québec
Personne	P6881	C25286	
Personne	P6881	C25291	Canada
Personne	P6881	N16226	
Personne	P6881	N16227	
Personne	P6881	C25301	
Personne	P6881	C25292	Toulouse
Personne	P6881	C25300	Guyenne, Haut-Languedoc
Personne	P6881	C25297	
Personne	P6881	C25295	
Personne	P6881	C25296	Toulon
Personne	P6881	C25296	Toulon
Personne	P6881	C25283	Toulon
Personne	P6881	C25289	Rochefort
Personne	P6881	C25293	
Personne	P6881	C25293	
Personne	P6881	C25284	Toulon
Personne	P6881	C25294	Charente, Cayenne
Personne	P6881	C25299	Canada, canal de Versailles
Personne	P6881	C25287	
Personne	P6881	C25298	Québec
Personne	P6881	C25288	
Personne	P7070	N16605	
Personne	P7070	N16606	
Personne	P7070	N16607	
Personne	P7070	N16608	
Personne	P7087	C25932	
Personne	P7087	C25933	
Personne	P7087	C25934	
Personne	P7087	C25931	
Personne	P7087	C25928	
Personne	P7087	C25929	
Personne	P7087	C25930	
Personne	P7203	C26333	
Personne	P7901	C28364	
Personne	P8136	N18805	
Personne	P8136	N18806	
Personne	P8136	C29086	
Personne	P8136	C29083	Biscaye
Personne	P8136	C29085	Biscaye
